,dataset,method,exp,total_hr,total_ndcg,best_epoch,head_hr,head_ndcg,mid_hr,mid_ndcg,tail_hr,tail_ndcg,balance
187,RetailRocket,PNS,3,0.045146726862302484,0.019821146738272965,175,0.1354025622331007,0.04465494225804146,0.0322554632690912,0.027311126580393044,0.013452311555535626,0.004962083277098886,0.6560192586800813
188,RetailRocket,PNS,4,0.022573363431151242,0.013478357010552819,50,0.0624934902614311,0.026914481287786254,0.0241915974518184,0.0241915974518184,0.004484103851845209,0.0017346881630175403,0.6823204046810647
189,RetailRocket,PNS,5,0.03837471783295711,0.021546785937636398,100,0.10415581710238517,0.051150387846237017,0.040319329086364,0.029738592072401603,0.008968207703690417,0.004243731807350282,0.632679457804519
190,RetailRocket,PNS,6,0.024830699774266364,0.02209228836384067,75,0.0624934902614311,0.0624934902614311,0.0322554632690912,0.02706400441180568,0.004484103851845209,0.0019311984129563387,0.5586915991710745
191,RetailRocket,PNS,7,0.029345372460496615,0.02375739115799766,75,0.08332465368190813,0.06851504689757082,0.0322554632690912,0.02927933032474363,0.004484103851845209,0.0014145772691167605,0.549098048883806
192,RetailRocket,PNS,8,0.006772009029345372,0.006772009029345372,75,0.0,0.0,0.0241915974518184,0.0241915974518184,0.0,0.0,0.33334160056414464
193,RetailRocket,PNS,9,0.024830699774266364,0.013151487919782887,175,0.04166232684095406,0.013441766762335381,0.0322554632690912,0.022271264471759655,0.013452311555535626,0.00795348017788029,0.7814085979578713
194,RetailRocket,PNS,10,0.03160270880361174,0.027800146448726252,75,0.09374023539214664,0.08853244453702738,0.0322554632690912,0.026735463888281016,0.004484103851845209,0.0022420519259226043,0.5104518683265724
195,RetailRocket,PNS,11,0.02708803611738149,0.021919455137747876,25,0.0624934902614311,0.0548053276444424,0.0483831949036368,0.03587177742826701,0.0,0.0,0.597067372329436
196,RetailRocket,PNS,12,0.01580135440180587,0.007896800964939487,150,0.02083116342047703,0.006270805034141885,0.0322554632690912,0.020927286835547523,0.004484103851845209,0.0013498497630778047,0.5428221155309486
197,RetailRocket,PNS,13,0.002257336343115124,0.002257336343115124,200,0.0,0.0,0.0080638658172728,0.0080638658172728,0.0,0.0,0.33335813441065887
198,RetailRocket,PNS,14,0.03160270880361174,0.018646626965999624,100,0.10415581710238517,0.044375124944670705,0.0322554632690912,0.0322554632690912,0.0,0.0,0.6139491878619818
199,RetailRocket,PNS,15,0.013544018058690745,0.009305639186571605,200,0.0,0.0,0.040319329086364,0.030554510332375513,0.004484103851845209,0.001494701283948403,0.36443107780331885
200,RetailRocket,PNS,16,0.013544018058690745,0.009752754568877682,50,0.0,0.0,0.040319329086364,0.029751959684229945,0.004484103851845209,0.002829154538233521,0.39122839622438765
201,RetailRocket,PNS,17,0.01580135440180587,0.008466754640418555,150,0.02083116342047703,0.013143000803488335,0.0322554632690912,0.016950729709926317,0.004484103851845209,0.0017346881630175403,0.6812932433422021
202,RetailRocket,PNS,18,0.020316027088036117,0.01269498275436829,200,0.02083116342047703,0.007420210126195649,0.0322554632690912,0.0322554632690912,0.013452311555535626,0.004087094686198417,0.5708958898030292
203,RetailRocket,PNS,19,0.01580135440180587,0.007766788606157025,175,0.02083116342047703,0.00694372114015901,0.0322554632690912,0.01728159771219609,0.004484103851845209,0.002829154538233521,0.6438720082081079
204,RetailRocket,BNS,0,0.03837471783295711,0.02876135286126555,175,0.1249869805228622,0.09117948522925902,0.0241915974518184,0.0241915974518184,0.008968207703690417,0.00442642455799955,0.5172251052523917
205,RetailRocket,BNS,1,0.03611738148984198,0.029305037344136337,125,0.10415581710238517,0.09026837482206715,0.0322554632690912,0.0282235303604548,0.008968207703690417,0.003656629195039365,0.5272884588249589
206,RetailRocket,BNS,2,0.045146726862302484,0.029767826621261383,175,0.1249869805228622,0.08518217875752133,0.040319329086364,0.030554510332375513,0.013452311555535626,0.00546944704000395,0.5615594118446168
207,RetailRocket,BNS,3,0.03837471783295711,0.0291528234730582,125,0.11457139881262368,0.08818083199339019,0.0322554632690912,0.027664515426767136,0.008968207703690417,0.004563842701251062,0.5370409801429634
208,RetailRocket,BNS,4,0.040632054176072234,0.02851186898891252,200,0.11457139881262368,0.0898961540836523,0.0322554632690912,0.023327064436048484,0.013452311555535626,0.004964077609983483,0.5209194012741405
209,RetailRocket,BNS,5,0.03611738148984198,0.030498546173736596,150,0.11457139881262368,0.09535099227015192,0.0241915974518184,0.0241915974518184,0.008968207703690417,0.006081373871611238,0.5262612712708381
210,RetailRocket,BNS,6,0.029345372460496615,0.02345417717137425,200,0.09374023539214664,0.07368748682567508,0.0241915974518184,0.0241915974518184,0.004484103851845209,0.0014145772691167605,0.5147545837240586
211,RetailRocket,BNS,7,0.03611738148984198,0.02773268289261568,175,0.10415581710238517,0.08605207277515796,0.0322554632690912,0.020350931491700912,0.008968207703690417,0.006726155777767813,0.5325360463661243
212,RetailRocket,BNS,8,0.04966139954853273,0.03630775353202925,150,0.11457139881262368,0.09480324957116927,0.0483831949036368,0.03308078882321703,0.022420519259226043,0.012913888172700113,0.6122613975328202
213,RetailRocket,BNS,9,0.04966139954853273,0.03330501125370129,175,0.11457139881262368,0.08593659312264783,0.040319329086364,0.02985499301685566,0.026904623111071252,0.012560109392690828,0.6188788836734416
214,RetailRocket,BNS,10,0.04966139954853273,0.03378040191223434,150,0.14581814394333922,0.10514420645190524,0.040319329086364,0.03182319676120624,0.013452311555535626,0.004140747748151215,0.5228093095974734
215,RetailRocket,BNS,11,0.05191873589164785,0.035632564396475365,150,0.16664930736381625,0.11211342455376239,0.0322554632690912,0.02661906294382696,0.013452311555535626,0.007713493298811152,0.5247407186343636
216,RetailRocket,BNS,12,0.040632054176072234,0.029235472080908955,175,0.08332465368190813,0.07563649106491943,0.0564470607209096,0.03523090356170419,0.013452311555535626,0.005921125841947954,0.6020431582220251
217,RetailRocket,BNS,13,0.03837471783295711,0.030223349292346224,125,0.10415581710238517,0.09374023539214664,0.040319329086364,0.029046528435835516,0.008968207703690417,0.003528468432722368,0.5238813715416784
218,RetailRocket,BNS,14,0.04740406320541761,0.032124356672861336,150,0.14581814394333922,0.10543914824799189,0.040319329086364,0.025973909971400103,0.008968207703690417,0.003976740088940145,0.5003947387251062
219,RetailRocket,BNS,15,0.03611738148984198,0.03025877058248429,175,0.10415581710238517,0.09374023539214664,0.0483831949036368,0.03551838858189292,0.0,0.0,0.516524752488406
220,RetailRocket,BNS,16,0.03160270880361174,0.026611884483787554,200,0.09374023539214664,0.07591985028973948,0.0241915974518184,0.0241915974518184,0.008968207703690417,0.006726155777767813,0.5682325452379962
221,RetailRocket,BNS,17,0.03611738148984198,0.029356671325569038,125,0.11457139881262368,0.09529005530797896,0.0241915974518184,0.0241915974518184,0.008968207703690417,0.0038393219456886334,0.5056233750384023
222,RetailRocket,BNS,18,0.03837471783295711,0.029346013119007405,175,0.11457139881262368,0.08789373502838693,0.0322554632690912,0.0282235303604548,0.008968207703690417,0.00476035295118986,0.5415022406141404
223,RetailRocket,BNS,19,0.04740406320541761,0.03133189523588814,100,0.16664930736381625,0.1055503401170641,0.0241915974518184,0.0241915974518184,0.008968207703690417,0.003345775682073099,0.48803521349805135
224,Beauty,RNS,0,0.01383327266108482,0.0068341565649959616,200,0.04306882398072119,0.021980029671668875,0.013018134604085982,0.006041322694259256,0.0011663366532059455,0.00046595996672989335,0.49652807089825535
225,Beauty,RNS,1,0.015107389879868947,0.007502499342670545,150,0.047475866434562426,0.024724999870843086,0.014902338296782636,0.006474229446444788,0.0007177456327421203,0.0003275488447113602,0.48409531428258845
226,Beauty,RNS,2,0.01524390243902439,0.007704835155250377,200,0.04527234520764181,0.02358345690514057,0.016786541989479292,0.00814070731453697,0.0009869002450204154,0.0003648905713714159,0.5176268166404356
227,Beauty,RNS,3,0.014333818711321441,0.006749737391172744,175,0.04527234520764181,0.02151351808780293,0.013532008338457796,0.006412286651279099,0.0008971820409276503,0.00031415169068439274,0.49954735834070996
228,Beauty,RNS,4,0.014652348016017473,0.007200633618198574,150,0.042467863646106475,0.021299401001308782,0.017642998213432317,0.008492816350890806,0.0006280274286493552,0.00020932645999101318,0.53136047963496
229,Beauty,RNS,5,0.014015289406625409,0.00677001658522971,175,0.040264342419185854,0.019860168109719634,0.016443959499898082,0.007605924835356973,0.0009869002450204154,0.00046942909826424423,0.5372550941613781
230,Beauty,RNS,6,0.014970877320713505,0.007310967979334418,175,0.04667458598840948,0.024038421853449614,0.014388464562410821,0.006125136922701573,0.0010766184491131803,0.0004402633257204335,0.48594814669783726
231,Beauty,RNS,7,0.013924281033855115,0.006567393755038335,200,0.04206722342303,0.02001108739125489,0.014045882072829611,0.006648786651005473,0.0012560548572987105,0.0005036612955010537,0.5212402604861947
232,Beauty,RNS,8,0.013696760101929377,0.006625360119338475,200,0.043469464203797666,0.0219298162398354,0.012504260869714167,0.005541449675081955,0.0009869002450204154,0.0003385977042489945,0.48241420340041774
